title;start;path_gdx_ref;path_gdx_bau;cm_feedstockMatchingBiomass ;cm_biocharRegionalMatching ;cm_biocharLowTech_cf ;cm_biocharMedTech_cf ;cm_biocharHighTech_cf ;c_keep_iteration_gdxes;cm_nash_autoconverge;cm_iteration_max;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;techpol;cm_multigasscen;cm_OILRETIRE;cm_EDGEtr_scen;cm_startyear
Base-iter1;1;;;0;0;0.9;0.9;0.9;0;0;1;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;2;off;Mix1;2005
NPi-iter1;1;NDC-iter1;Base-iter1;0;0;0.9;0.9;0.9;0;0;1;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;3;off;Mix1;2025
NDC-iter1;1;Base-iter1;Base-iter1;0;0;0.9;0.9;0.9;0;0;1;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;3;off;Mix2;2015
PkBudg500-iter1;1;NDC-iter1;Base-iter1;0;0;0.9;0.9;0.9;0;0;1;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;2;on;Mix4;2025
Base;2;;;0;0;0.9;0.9;0.9;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;2;off;Mix1;2005
NPi;2;NDC;Base;0;0;0.9;0.9;0.9;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;3;off;Mix1;2025
NDC;2;Base;Base;0;0;0.9;0.9;0.9;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;3;off;Mix2;2015
PkBudg500;2;NDC;Base;0;0;0.9;0.9;0.9;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;2;on;Mix4;2025
Base-FSM-iter1;3;;;1;0;0.9;0.9;0.9;0;0;1;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;2;off;Mix1;2005
NPi-FSM-iter1;3;NDC-FSM-iter1;Base-FSM-iter1;1;0;0.9;0.9;0.9;0;0;1;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;3;off;Mix1;2025
NDC-FSM-iter1;3;Base-FSM-iter1;Base-FSM-iter1;1;0;0.9;0.9;0.9;0;0;1;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;3;off;Mix2;2015
PkBudg500-FSM-iter1;3;NDC-FSM-iter1;Base-FSM-iter1;1;0;0.9;0.9;0.9;0;0;1;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;2;on;Mix4;2025
