title;start;oldrun;path_report;magpie_scen;LU_pricing;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_opt
SSP2-Base;1;;;SSP2,NPI;y2100;./config/input_H12.gdx;;;
SSP2-NDC;1;;;SSP2,NDC;y2100;./config/input_H12.gdx;;;
SSP2-Npi;1;;;SSP2,NPI;y2100;./config/input_H12.gdx;;;
SSP2-1150-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-1150-all-vegC50-limbio;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-1150-all-vegC50-noCCSlim;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-1150-all-vegC50-notax;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-1150-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-1150-all-veglimC50-nolimbio;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-1150-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-1150-none-RefAff-nolim;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-1150-none-RefAff-noCCS;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-500-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-500-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-500-all-vegC50-notax;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-500-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-500-none-noCCS;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax20-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax20-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax20-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-tax30-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax30-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax30-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-tax40-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax40-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax40-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-tax60-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax60-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax60-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-tax80-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax80-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax80-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-tax100-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax100-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax100-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-tax140-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax140-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax140-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-tax190-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax190-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax190-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
SSP2-tax250-all-vegC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax250-all-veglimC50;1;;;SSP2,NDC;y2010;./config/input_H12.gdx;;;
SSP2-tax250-none-RefAff;1;;;SSP2,NPI;y2010;./config/input_H12.gdx;;;
